"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","","333","","","2","","","","EBB - Banning","","1","32603","change in orientation and visibilityended at prickly pear",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","","333","","","0","","","","EBB - Banning","","1","32604","end at sobr",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","0","333","","","0","0","","","EBB - Banning","","1.5","32651","",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","0","333","","","0","0","","","EBB - Banning","","1.5","32652","end transect just short of stone field wall",""
"0","2013-08-31","","","Agricultural Field (fallow)","2","0","0","342","","","0","0","","","EBB - Banning","","1","32731","",""
"0","2013-08-31","","","Pasture","2","0","0","342","","","0","0","","","EBB - Banning","",".5","32732","changed segment at oak treethorns and oal leaved",""
"0","2013-08-31","","","Pasture","2","0","0","342","","","0","0","","","EBB - Banning","",".5","32733","moving up higher terrace",""
"0","2013-08-31","","","Pasture","2","0","0","342","","","0","0","","","EBB - Banning","",".5","32734","moving back down slope",""
"0","2013-08-31","","","Pasture","2","0","0","342","","","0","0","","","EBB - Banning","",".5","32735","end transect at big stone field wall",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","7","0","335","","","7","0","","","EBB - Banning","","1.5","32811","flakebody sherd2 Byz, others pos Neo/Chalco",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","6","0","335","","","0","0","","","EBB - Banning","","1.5","32812","bladeletgrinding stone waypointed",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","0","335","","","1","0","","","EBB - Banning","","1.5","32813","Byz",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","0","335","","","0","0","","","EBB - Banning","","1.5","32814","end transect",""
"0","2013-08-31","","","Pasture","2","2","0","346","","","0","0","","","EBB - Banning","",".5","32961","retouched piece",""
"0","2013-08-31","","","Pasture","2","4","0","346","","","0","0","","","EBB - Banning","",".5","32962","flake core waypointed3296second flake core 15m to east",""
"0","2013-08-31","","","Dense Thorns","2","11","0","346","","","0","0","","","EBB - Banning","",".5","32963","frag of basalt bowl not collectedsmall amorphous core",""
"0","2013-08-31","","","Dense Thorns","2","0","0","346","","","0","0","","","EBB - Banning","",".5","32964","end transect",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","3","2","","333","","","2","","","","RE - Elendari","HAJ- Al Jarrah","3","32641","",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","3","5","","333","","","6","","","","RE - Elendari","HAJ- Al Jarrah","3","32642","end of segment 32641",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","3","0","","333","","","0","","","","RE - Elendari","HAJ- Al Jarrah","3","32643","end of transect 32642",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","3","2","","333","","","4","","","","RE - Elendari","HAJ- Al Jarrah","3","32671","",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","3","0","","333","","","0","","","","RE - Elendari","HAJ- Al Jarrah","3","32672","end of transect 32671",""
"0","2013-08-31","","","Sparse Vegetation","3","0","","341","","","1","","","","RE - Elendari","HAJ- Al Jarrah","1.5","32801","",""
